treat,Group,week,eggs
a1p,AP22,6,0
a1p,AP23,6,0
a1p,AP24,6,5
a1p,AP25,6,0
a1p,AP26,6,0
a1p,AP29,6,0
a1p,AP31,6,0
a1p,AP33,6,0
a1p,AP34,6,0
a1p,AP35,6,1
a1p,AP36,6,0
a1p,AP37,6,2
a1p,AP38,6,0
a1p,AP39,6,0
a1p,AP40,6,0
0c,C1,7,NA
0c,C2,7,1
0c,C3,7,5
0c,C4,7,14
0c,C5,7,0
0c,C7,7,NA
0c,C9,7,NA
0c,C11,7,8
0c,C12,7,0
0c,C13,7,2
0c,C14,7,6
0c,C16,7,2
0c,C17,7,2
0c,C18,7,NA
0c,C19,7,5
0c,C20,7,1
0c,C21,7,6
0c,C22,7,2
0c,C23,7,0
0c,C24,7,8
0c,C26,7,NA
0c,C27,7,0
0c,C28,7,10
0c,C29,7,5
0c,C30,7,0
0c,C31,7,12
0c,C32,7,NA
0c,C33,7,2
0c,C34,7,4
0c,C35,7,NA
0c,C36,7,2
0c,C37,7,10
0c,C38,7,3
0c,C39,7,4
a,A1,7,1
a,A2,7,1
a,A3,7,2
a,A4,7,4
a,A5,7,1
a,A6,7,2
a,A7,7,3
a,A9,7,1
a,A10,7,4
a,A11,7,4
a,A12,7,0
a,A13,7,0
a,A14,7,6
a,A15,7,2
a,A16,7,6
a,A17,7,NA
a,A18,7,8
a,A19,7,9
a,A21,7,3
a,A22,7,0
a,A23,7,3
a,A24,7,5
a,A26,7,4
a,A27,7,8
a,A28,7,11
a,A29,7,9
a,A31,7,6
a,A32,7,6
a,A33,7,NA
a,A34,7,6
a,A35,7,7
a,A36,7,13
a,A37,7,NA
1p,P1,7,0
1p,P2,7,0
1p,P4,7,NA
1p,P5,7,0
1p,P6,7,0
1p,P8,7,0
1p,P9,7,0
1p,P15,7,0
1p,P17,7,0
1p,P18,7,0
1p,P19,7,0
1p,P23,7,0
1p,P25,7,0
1p,P26,7,0
1p,P31,7,NA
1p,P32,7,0
1p,P33,7,NA
1p,P37,7,0
1p,P40,7,0
a1p,AP3,7,0
a1p,AP5,7,0
a1p,AP7,7,NA
a1p,AP8,7,0
a1p,AP9,7,0
a1p,AP10,7,0
a1p,AP15,7,1
a1p,AP16,7,0
a1p,AP17,7,0
a1p,AP18,7,0
a1p,AP19,7,0
a1p,AP21,7,1
a1p,AP22,7,0
a1p,AP23,7,0
a1p,AP24,7,4
a1p,AP25,7,1
a1p,AP26,7,0
a1p,AP29,7,0
a1p,AP31,7,0
a1p,AP33,7,0
a1p,AP34,7,0
a1p,AP35,7,0
a1p,AP36,7,1
a1p,AP37,7,6
a1p,AP38,7,0
a1p,AP39,7,0
a1p,AP40,7,0
0c,C1,8,NA
0c,C2,8,2
0c,C3,8,4
0c,C4,8,13
0c,C5,8,1
0c,C7,8,NA
0c,C9,8,NA
0c,C11,8,3
0c,C12,8,0
0c,C13,8,3
0c,C14,8,3
0c,C16,8,9
0c,C17,8,1
0c,C18,8,NA
0c,C19,8,2
0c,C20,8,1
0c,C21,8,5
0c,C22,8,0
0c,C23,8,0
0c,C24,8,3
0c,C26,8,NA
0c,C27,8,0
0c,C28,8,9
0c,C29,8,6
0c,C30,8,3
0c,C31,8,6
0c,C32,8,NA
0c,C33,8,0
0c,C34,8,6
0c,C35,8,NA
0c,C36,8,2
0c,C37,8,12
0c,C38,8,5
0c,C39,8,6
a,A1,8,3
a,A2,8,1
a,A3,8,2
a,A4,8,6
a,A5,8,5
a,A6,8,5
a,A7,8,4
a,A9,8,1
a,A10,8,7
a,A11,8,7
a,A12,8,0
a,A13,8,1
a,A14,8,0
a,A15,8,2
a,A16,8,2
a,A17,8,NA
a,A18,8,7
a,A19,8,7
a,A21,8,4
a,A22,8,2
a,A23,8,3
a,A24,8,3
a,A26,8,4
a,A27,8,7
a,A28,8,7
a,A29,8,7
a,A31,8,5
a,A32,8,6
a,A33,8,NA
a,A34,8,13
a,A35,8,5
a,A36,8,8
a,A37,8,NA
1p,P1,8,0
1p,P2,8,0
1p,P4,8,NA
1p,P5,8,0
1p,P6,8,0
1p,P8,8,0
1p,P9,8,0
1p,P15,8,0
1p,P17,8,NA
1p,P18,8,0
1p,P19,8,0
1p,P23,8,0
1p,P25,8,0
1p,P26,8,0
1p,P31,8,NA
1p,P32,8,0
1p,P33,8,NA
1p,P37,8,0
1p,P40,8,0
a1p,AP3,8,0
a1p,AP5,8,0
a1p,AP7,8,NA
a1p,AP8,8,0
a1p,AP9,8,0
a1p,AP10,8,0
a1p,AP15,8,0
a1p,AP16,8,0
a1p,AP17,8,0
a1p,AP18,8,0
a1p,AP19,8,0
a1p,AP21,8,1
a1p,AP22,8,0
a1p,AP23,8,0
a1p,AP24,8,1
a1p,AP25,8,0
a1p,AP26,8,0
a1p,AP29,8,0
a1p,AP31,8,0
a1p,AP33,8,0
a1p,AP34,8,0
a1p,AP35,8,1
a1p,AP36,8,0
a1p,AP37,8,1
a1p,AP38,8,0
a1p,AP39,8,NA
a1p,AP40,8,0
0c,C1,9,NA
0c,C2,9,4
0c,C3,9,1
0c,C4,9,9
0c,C5,9,8
0c,C7,9,NA
0c,C9,9,NA
0c,C11,9,3
0c,C12,9,0
0c,C13,9,3
0c,C14,9,5
0c,C16,9,9
0c,C17,9,1
0c,C18,9,NA
0c,C19,9,2
0c,C20,9,0
0c,C21,9,6
0c,C22,9,0
0c,C23,9,0
0c,C24,9,1
0c,C26,9,NA
0c,C27,9,0
0c,C28,9,7
0c,C29,9,3
0c,C30,9,1
0c,C31,9,8
0c,C32,9,NA
0c,C33,9,3
0c,C34,9,5
0c,C35,9,NA
0c,C36,9,0
0c,C37,9,5
0c,C38,9,2
0c,C39,9,5
a,A1,9,4
a,A2,9,5
a,A3,9,3
a,A4,9,7
a,A5,9,7
a,A6,9,4
a,A7,9,4
a,A9,9,2
a,A10,9,3
a,A11,9,6
a,A12,9,0
a,A13,9,3
a,A14,9,2
a,A15,9,6
a,A16,9,4
a,A17,9,NA
a,A18,9,3
a,A19,9,5
a,A21,9,3
a,A22,9,3
a,A23,9,3
a,A24,9,5
a,A26,9,2
a,A27,9,0
a,A28,9,12
a,A29,9,8
a,A31,9,2
a,A32,9,5
a,A33,9,NA
a,A34,9,15
a,A35,9,4
a,A36,9,9
a,A37,9,NA
1p,P1,9,0
1p,P2,9,0
1p,P4,9,NA
1p,P5,9,0
1p,P6,9,0
1p,P8,9,0
1p,P9,9,0
1p,P15,9,0
1p,P17,9,NA
1p,P18,9,0
1p,P19,9,0
1p,P23,9,0
1p,P25,9,0
1p,P26,9,0
1p,P31,9,NA
1p,P32,9,0
1p,P33,9,NA
1p,P37,9,0
1p,P40,9,0
a1p,AP3,9,0
a1p,AP5,9,0
a1p,AP7,9,NA
a1p,AP8,9,0
a1p,AP9,9,0
a1p,AP10,9,0
a1p,AP15,9,0
a1p,AP16,9,0
a1p,AP17,9,0
a1p,AP18,9,0
a1p,AP19,9,0
a1p,AP21,9,1
a1p,AP22,9,0
a1p,AP23,9,0
a1p,AP24,9,1
a1p,AP25,9,0
a1p,AP26,9,0
a1p,AP29,9,0
a1p,AP31,9,0
a1p,AP33,9,0
a1p,AP34,9,0
a1p,AP35,9,0
a1p,AP36,9,1
a1p,AP37,9,1
a1p,AP38,9,0
a1p,AP39,9,NA
a1p,AP40,9,0
